objectid,title,designer,publisher,year,description,game_link,catalog_link,catalog_description,call_number,video_link,video_extra,rules_link,supplement_link,game_printables link,players_min,players_max,players_recommended,recommended_age,playing_time,Playing time Less that 30 min,Playing time from 30 min up to an hour,Playing time From 1 hour up to 2 hours,Playing time 2 hours or more,theme,mechanics,awards,Awards_without_year,original_link,old_table_img,game_image_link,file_name_old,image_filename,image_small,image_thumb,display_template
games_0001,7 Wonders,Antoine Bauza,Repos Production,2010,"You are the leader of one of the 7 great cities of the Ancient World. Gather resources, develop commercial routes and affirm your military supremacy. Build your city and erect an architectural wonder which will transcend future times!",https://boardgamegeek.com/boardgame/68448/7-wonders,https://alliance-uidaho.primo.exlibrisgroup.com/permalink/01ALLIANCE_UID/2vsn7u/alma996228613801851,"7 Wonders by Antoine Bauza, Miguel Coimbra, Cédrick Caumont, Thomas Provoost, Asmodee, Repos Production. Call Number: Board Games Shelf (First Floor) GAME 7 WONDERS Publication Date: 2015 Game takes place over 3 Ages, each using one of 3 card decks. Each player uses 6 cards per Age to build their city and Wonder. At end of third Age, player with the most victory points wins. WARNING: CHOKING HAZARD! Not for children under 3 years. Title from container. For 2-7 players. Duration of play: 30 minutes. International Gamers Awards winner, 2011.",Board Games Shelf (First Floor) GAME 7 WONDERS,https://youtu.be/z_Wfdn5Es8U,,http://www.tabladejoc.ro/userfiles/downloads/7w-rules-en-color-light.pdf,,,2,7,4; 5,10,30 min,FALSE,TRUE,FALSE,FALSE,Ancient History;Civilization,Tactics;Strategy;Card Drafting;Set Collection,2012 MinD-Spielepreis Nominee; 2012 Ludoteca Ideale Winner; 2011/2012 Boardgames Australia Awards Best International Game Nominee; 2011 Vuoden Peli Adult Game of the Year Winner; 2011 Vuoden Peli Adult Game of the Year Nominee;  2011 Spiel des Jahres Kennerspiel Game of the Year Nominee; 2011 Spiel des Jahres Kennerspiel des Jahres Winner; 2011 Nederlandse Spellenprijs Nominee; 2011 Lys Passioné Winner; 2011 Lys Passioné Finalist; 2011 Lucca Games Best Boardgame Winner; 2011 Lucca Games Best Boardgame Nominee; 2011 Juego del Año Tico Winner; 2011 Juego del Año Tico Nominee; 2011 Juego del Año Finalist; 2011 JoTa Best Light Board Game Nominee; 2011 JoTa Best Light Board Game Critic Award; 2011 JoTa Best Light Board Game Audience Award; 2011 JoTa Best Card Game Nominee; 2011 JoTa Best Card Game Critic Award; 2011 JoTa Best Card Game Audience Award; 2011 JoTa Best Artwork Nominee; 2011 JoTa Best Artwork Critic Award; 2011 Japan Boardgame Prize Voters' Selection Winner; 2011 Japan Boardgame Prize Voters' Selection Nominee; 2011 International Gamers Award - General Strategy; Multi-player Nominee;                                               2011 International Gamers Award - General Strategy: Multi-player Winner; 2011 Hra roku Winner; 2011 Hra roku Nominee; 2011 Guldbrikken Best Adult Game Winner; 2011 Guldbrikken Best Adult Game Nominee; 2011 Gra Roku Game of the Year Nominee; 2011 Gouden Ludo Winner; 2011 Gouden Ludo Nominee; 2011 Golden Geek Most Innovative Board Game Nominee   ; 2011 Golden Geek Best Strategy Board Game Nominee; 2011 Golden Geek Best Party Board Game Nominee; 2011 Golden Geek Best Family Board Game Winner; 2011 Golden Geek Best Family Board Game Nominee                                                                                          2011 Golden Geek Best Card Game Winner; 2011 Golden Geek Best Card Game Nominee; 2011 Golden Geek Best Board Game Artwork/Presentation Nominee; 2011 Fairplay À la carte Winner                                                                                          2011 Deutscher Spiele Preis Best Family/Adult Game Winner; 2011 As d'Or - Jeu de l'Année Prix du Jury Winner; 2011 As d'Or - Jeu de l'Année Nominee; 2010 Tric Trac Nominee                                                                                          2010 Tric Trac d'Or; 2010 Swiss Gamers Award Winner; 2010 Meeples' Choice Award,As d'Or - Jeu de l'Année;As d'Or - Jeu de l'Année Prix du Jury;Boardgames Australia Awards Best International Game;Deutscher Spiele Preis Best Family/Adult Game;Fairplay À la carte;Golden Geek Best Board Game Artwork/Presentation;Golden Geek Best Card Game;Golden Geek Best Family Board Game;Golden Geek Best Party Board Game;Golden Geek Best Strategy Board Game;Golden Geek Most Innovative Board Game;Gouden Ludo;Gra Roku Game of the Year;Guldbrikken Best Adult Game;Hra roku;International Gamers Award - General Strategy: Multiplayer;Japan Boardgame Prize Voters' Selection;JoTa Best Artwork;JoTa Best Artwork Critic Award;JoTa Best Card Game;JoTa Best Card Game Audience Award;JoTa Best Card Game Critic Award;JoTa Best Light Board Game;JoTa Best Light Board Game Audience Award;JoTa Best Light Board Game Critic Award;Juego del Año;Juego del Año Tico;Lucca Games Best Boardgame;Ludoteca Ideale;Lys Passioné;Meeples' Choice Award;MinD-Spielepreis;Nederlandse Spellenprijs;Spiel des Jahres Kennerspiel Game of the Year;Spiel des Jahres Kennerspiel des Jahres;Swiss Gamers Award;Tric Trac;Tric Trac d'Or;Vuoden Peli Adult Game of the Year,https://libguides.uidaho.edu/c.php?g=894824&p=6435150,,https://cf.geekdo-images.com/fR5_q-7pMDmhLP8SPLOwPcUeLVo=/fit-in/246x300/pic860217.jpg,pic860217.jpg,games_0001.jpg,https://www.lib.uidaho.edu/digital/objects/games/small/games_0001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/games/thumbs/games_0001_th.jpg,game
games_0002,10 Days in Europe,Alan R. Moon; Aaron Weissblum,Out of the Box Publishing Inc,2002,"""There is much to be discovered in Europe! Many roads lead to success in this exciting travel game - you just have to find the right one. Exchange your cards cleverly and find your way through Europe quickly to win. Ten cards must show continuous travel either by land, sea or air."" All players pick tiles up one at a time, examining them and placing them onto any empty spot on their tile holders. Then, in turn, each player draws one tile and may replace one of their lined-up tiles with it. (Tiles may not be rearranged.) Tiles are drawn from one of the face-up discard piles or a face-down pile. The drawn card or replaced card is then discarded into one of the face-up piles. The first person to have all ten tiles satisfy the travel connection requirements wins.",https://boardgamegeek.com/boardgame/5867/10-days-europe,https://alliance-uidaho.primo.exlibrisgroup.com/permalink/01ALLIANCE_UID/2vsn7u/alma996466288201851,"10 days in Europe : the unpredictable game of making connections by Alan R. Moon, Aaron Weissblum Call Number: Board Games Shelf (First Floor) GAME 10 Days in Europe Publication Date: 2007 Players have ten days to tour Europe by plane, ship or on foot. Players chart their courses from start to finish using destination and transportation tiles, and the first traveler to make connections for a ten day journey wins the game. WARNING: CHOKING HAZARD! Not for children under 3 years. Title from container. For 2-7 players. Duration of play: 30 minutes. International Gamers Awards winner, 2011.",Board Games Shelf (First Floor) GAME 10 Days in Europe,https://youtu.be/rJsuTuMrfHg,,http://upload.snakesandlattes.com/rules/1/10DaysInEurope.pdf,,,2,4,2,10,20-30 min,TRUE,FALSE,FALSE,FALSE,Europe;Travel,Connections;Hand Management,"2003 Spiel der Spiele Hit für Familien Recommended; 2003 Kinderspielexperten ""8-to-13-year-olds"" Nominee; 2003 Japan Boardgame Prize Best Foreign Game for Beginners Nominee; 2003 Fairplay À la carte Runner-up","Fairplay À la carte;Japan Boardgame Prize Best Foreign Game for Beginners;Kinderspielexperten ""8-to-13-year-olds"";Spiel der Spiele Hit für Familien Recommended",https://libguides.uidaho.edu/c.php?g=894824&p=8863929,,https://libapps.s3.amazonaws.com/accounts/182919/images/10_days.jpg,10_days.jpg,games_0002.jpg,https://www.lib.uidaho.edu/digital/objects/games/small/games_0002_sm.jpg,https://www.lib.uidaho.edu/digital/objects/games/thumbs/games_0002_th.jpg,game
games_0003,Age of Mythology,Glenn Drover,Eagle Games,2003,"Age of Mythology, the tremendously popular real-time strategy game from Ensemble Studios and Microsoft, gets the Eagle Games treatment! Players control armies made up of warriors, priests, heroes, and mythical creatures from ancient Greek, Egyptian, and Norse mythology. They gather resources, which allow them to create buildings and armies. Special buildings are required to allow players to build new army types and improve the abilities of their units. Battles are resolved with a unique dice and card system that keeps the action moving. You get all the fast-paced action of a real-time game, with real 3-D pieces, and face-to-face gameplay!",https://boardgamegeek.com/boardgame/6707/age-mythology-boardgame,https://alliance-uidaho.primo.exlibrisgroup.com/permalink/01ALLIANCE_UID/2vsn7u/alma996466188001851,"Age of Mythology by Microsoft Game Studios Call Number: Board Games Shelf (First Floor) GAME AGE OF MYTHOLOGY Publication Date: 2003 Players control armies made up of warriors, priests, heroes, and mythical creatures from ancient Greek, Egyptian, and Norse mythology. They gather resources, which allow them to create buildings and armies. Special buildings are required to allow players to build new army types and improve the abilities of their units. Battles are resolved with a unique dice and card system that keeps the action moving. You get all the fast-paced action of a real-time game, with real 3-D pieces, and face-to-face gameplay! The ultimate real-time strategy game jumps off the screen and onto your tabletop! A game of epic proportions...",Board Games Shelf (First Floor) GAME AGE OF MYTHOLOGY,https://youtu.be/dXBfcyYGKi8,,https://libguides.uidaho.edu/ld.php?content_id=66042057,,,2,4,3,10,120 min,FALSE,FALSE,FALSE,TRUE,Mythology;Civilization,Campaign;Dice Rolling,,,https://libguides.uidaho.edu/c.php?g=894824&p=8863934,,https://libapps.s3.amazonaws.com/accounts/182919/images/Age_of_Mythology.jpg,Age_of_Mythology.jpg,games_0003.jpg,https://www.lib.uidaho.edu/digital/objects/games/small/games_0003_sm.jpg,https://www.lib.uidaho.edu/digital/objects/games/thumbs/games_0003_th.jpg,game
games_0004,Aggravation,Harry W. First,Hasbro,1962,"Race your marbles around the board in an attempt to be the first to make it from base to home. Shortcuts let you zip ahead, but they're risky too - are you willing to chance it? Along the way, aggravate your opponents by sending them back to their Base. Watch out! You might be sent back yourself! Be the first to get all your pieces Home and you'll win the game",https://boardgamegeek.com/boardgame/2272/aggravation,https://alliance-uidaho.primo.exlibrisgroup.com/permalink/01ALLIANCE_UID/2vsn7u/alma996220113001851,Aggravation by Hasbro Call Number: Board Game Shelf GAME AGGRAVATION Publication Date: 2017 Players seek to be first to move all their marbles from their start base to their home area. But other players can aggravate them by sending their marbles back to the beginning. Container title: Aggravation : the classic marble race game. Instructions printed on inside of box. For 2 to 6 players.,Board Game Shelf GAME AGGRAVATION,https://youtu.be/mSw7wCTeFN0,,https://www.hasbro.com/common/instruct/Aggravation_(2002).pdf,,,2,6,6,5,45 min,FALSE,TRUE,FALSE,FALSE,Get home,Strategy;Probability,,,https://libguides.uidaho.edu/c.php?g=894824&p=6468452,,https://libapps.s3.amazonaws.com/accounts/182919/images/aggravation.jpg,aggravation.jpg,games_0004.jpg,https://www.lib.uidaho.edu/digital/objects/games/small/games_0004_sm.jpg,https://www.lib.uidaho.edu/digital/objects/games/thumbs/games_0004_th.jpg,game
games_0005,Arboretum,Dan Cassar,Renegarde Game Studios,2015,"Arboretum is a strategy card game for 2-4 players, aged 10 and up, that combines set collection, tile-laying and hand management while playing in about 25 minutes. Players try to have the most points at the end of the game by creating beautiful garden paths for their visitors. The deck has 80 cards in ten different colors, with each color featuring a different species of tree; each color has cards numbered 1 through 8, and the number of colors used depends on the number of players. Players start with a hand of seven cards. On each turn, a player draws two cards (from the deck or one or more of the discard piles), lays a card on the table as part of her arboretum, then discards a card to her personal discard pile. When the deck is exhausted, players compare the cards that remain in their hands to determine who can score each color. For each color, the player(s) with the highest value of cards in hand of that color scores for a path of trees in her arboretum that begins and ends with that color; a path is a orthogonally adjacent chain of cards with increasing values. For each card in a path that scores, the player earns one point; if the path consists solely of trees of the color being scored, the player scores two points per card. If a player doesn't have the most value for a color, she scores zero points for a path that begins and ends with that color. Whoever has the most points wins.",https://boardgamegeek.com/boardgame/140934/arboretum,https://alliance-uidaho.primo.exlibrisgroup.com/permalink/01ALLIANCE_UID/2vsn7u/alma996466186901851,"Arboretum by Dan Cassar, Beth Sobel Call Number: Board Games Shelf (First Floor) GAME ARBORETUM Publication Date: 2018 Arboretum is a strategic card Game that challenges players to create the most beautiful path through the garden. Choosing the correct cards and placing them in the most efficient orientation will score you the most points at the end of the Game. With elegantly simple rules, arboretum offers players surprisingly complex choices",Board Games Shelf (First Floor) GAME ARBORETUM,https://youtu.be/Ufh606Ettvo,,https://static1.squarespace.com/static/54148cdae4b05a3412bfa19b/t/5b1ecb5f70a6ad2f61bde0b6/1528744823197/Arboretum_RuleBook_4Web.pdf,,,2,4,2,8,30 min,FALSE,TRUE,FALSE,FALSE,Gardens,Set Collection;Tile Placement;Pattern Building;Hand Management,2019 UK Games Expo Best Card Game (Strategic) Judges Award Winner; 2015 Meeples' Choice Nominee; 2015 Golden Geek Best Card Game Nominee; 2015 Golden Geek Best Board Game Artwork/Presentation Nominee; 2015 Board Game Quest Awards Best Card Game Nominee,Board Game Quest Awards Best Card Game;Golden Geek Best Board Game Artwork/Presentation;Golden Geek Best Card Game;Meeples' Choice;UK Games Expo Best Card Game (Strategic) Judges Award,https://libguides.uidaho.edu/c.php?g=894824&p=8864068,,https://libapps.s3.amazonaws.com/accounts/182919/images/Arboretum.jpg,Arboretum.jpg,games_0005.jpg,https://www.lib.uidaho.edu/digital/objects/games/small/games_0005_sm.jpg,https://www.lib.uidaho.edu/digital/objects/games/thumbs/games_0005_th.jpg,game
games_0006,Apples to Apples,Matthew Kirby; Mark Alan Osterhaus,Mattel Games,1999,"Apples to Apples is as easy as comparing apples to apples! Just open the box, deal the cards and you're ready to play! Select the card from your hand that you think best describes a card played by the judge. If the judge picks your card, you win that round. Don't fret, as everyone gets a chance to be the judge! Each round is filled with surprising and outrageous comparisons from a wide range of people, places, things and events.",https://boardgamegeek.com/boardgame/74/apples-apples,https://alliance-uidaho.primo.exlibrisgroup.com/permalink/01ALLIANCE_UID/2vsn7u/alma996214410801851,"Apples to apples : party in a box. by Mattel Call Number: Board Game Box GAME APPLES TO APPLES Publication Date: 2017 ""Random words! Crazy combinations! Outrageous laughs!""--container. 4-8 players.",Board Game Box GAME APPLES TO APPLES,https://youtu.be/4fgCEMFSF_Q,,https://service.mattel.com/instruction_sheets/N1488-0920.pdf,,,4,10,6; 8,12,30-75 min,FALSE,TRUE,TRUE,FALSE,Card Game;Humor;Social,Social Skills,2003 Japan Boardgame Prize Best Japanese Game Winner; 2003 Japan Boardgame Prize Best Japanese Game Nominee; 1999 Mensa Select Winner,Japan Boardgame Prize Best Japanese Game;Mensa Select,https://libguides.uidaho.edu/c.php?g=894824&p=6468430,,https://libapps.s3.amazonaws.com/accounts/182919/images/apples_to_apples.jpeg,apples_to_apples.jpeg,games_0006.jpg,https://www.lib.uidaho.edu/digital/objects/games/small/games_0006_sm.jpg,https://www.lib.uidaho.edu/digital/objects/games/thumbs/games_0006_th.jpg,game
games_0007,Axis and Allies,"Larry Harris, Jr.","Wizards of the Coast, inc.",1981,"It is 1941. Five major powers struggle for supremacy. The Axis has great momentum and is expanding its conquests in both Europe and Asia. Controlling one of the Axis or Allied powers, you will command both your country’s military forces and its war-time economy. Show that you are a brilliant military strategist by planning your attacks, marshaling your forces into embattled territories, and resolving the conflicts. Victory goes to the side that conquers its opponents on the field of battle and liberates or occupies the greatest cities of the world. Change the course of history in a few short hours!",https://boardgamegeek.com/boardgame/98/axis-allies,https://alliance-uidaho.primo.exlibrisgroup.com/permalink/01ALLIANCE_UID/2vsn7u/alma996214410001851,"Axis & Allies : Spring 1941, the world is at war! : a strategy game by Larry H. Harris, Wizards of the Coast Call Number: Board Game Shelf GAME AXIS AND ALLIES Publication Date: 2008 ""The year is 1941. ... 'Axis & Allies®' ... challenges you ... to decide the outcome of World War II.""--Container. Title and statement of responsibility from container. For 2-6 players. Duration of play can be adjusted by varying the criteria for victory.--""Rulebook"", page 4. ""'Axis & Allies' celebrates the 50th anniversary of Avalon Hill® with this deluxe edition ... This edition includes an all-new, huge 24"" by 46"" game board, new cruiser units, and the debut of Italy as the third Axis nation.""--Container.",Board Game Shelf GAME AXIS AND ALLIES,https://youtu.be/LQVE7ynwKlE,,https://www.wizards.com/AvalonHill/rules/AxAl-AnEd_Rules.pdf,,,2,5,2; 5,12,2-10+ Hours,FALSE,FALSE,FALSE,TRUE,War;World War II,Tactics;Strategy;Economics;Team-Based;Connections,2008 JoTa Best Monster Board Game Nominee,JoTa Best Monster Board Game,https://libguides.uidaho.edu/c.php?g=894824&p=6468450,,https://libapps.s3.amazonaws.com/accounts/182919/images/Axis_and_Allies.jpg,Axis_and_Allies.jpg,games_0007.jpg,https://www.lib.uidaho.edu/digital/objects/games/small/games_0007_sm.jpg,https://www.lib.uidaho.edu/digital/objects/games/thumbs/games_0007_th.jpg,game
games_0008,Azul,Michael Kiesling,Plan B Games Inc,2017,"Azul In the game Azul, players take turns drafting colored tiles from suppliers to their player board. Later in the round, players score points based on how they've placed their tiles to decorate the palace. Extra points are scored for specific patterns and completing sets; wasted supplies harm the player's score. The player with the most points at the end of the game wins.",https://boardgamegeek.com/boardgame/230802/azul,https://alliance-uidaho.primo.exlibrisgroup.com/permalink/01ALLIANCE_UID/2vsn7u/alma996466187501851,"Azul by Michael Kiesling, Chris Quilliams, Sophie Gravel Call Number: Board Games Shelf (First Floor) GAME AZUL Publication Date: 2018 Azul was designed by the world famous, award winning game author Michael Riesling. Azul captures the beautiful aesthetics of Moorish art in a contemporary board game. Players compete as artisans decorating the walls of the royal Palace of Dvora. By carefully drafting the correct Quantity and style of tiles, the most clever of artisans plan ahead to maximize the beauty of their work (not to mention their scores!) while ensuring they wasted no supplies in the process. Introduced by the moors, ""azulejos"" (originally white and blue ceramic tiles) were fully embraced by the Portuguese, when their King Manuel I, on a visit to the Alhambra Palace in Southern Spain, was mesmerized by the stunning beauty of the Moorish decorative tiles. The King, awestruck by the interior beauty of the Alhambra, immediately ordered that his own Palace in Portugal be decorated with similar wall tiles. As a tile-laying artist, you have been challenged to embellish the walls of the royal Palace of Dvora",Board Games Shelf (First Floor) GAME AZUL,https://youtu.be/iEw9NRRXbfk,,https://www.planbgames.com/en/index.php?controller=attachment&id_attachment=9,,,2,4,2,8,30-45 min,FALSE,TRUE,FALSE,FALSE,Mosaics,Pattern Building;Set Collection;Tile Placement,2019 UK Games Expo Best Abstract Game People's Choice Winner; 2019 UK Games Expo Best Abstract Game Judges Award Winner; 2019 MinD-Spielepreis Short Game Winner;                                                  2019 MinD-Spielepreis Short Game Nominee; 2019 Hungarian Board Game Award Nominee; 2019 Gra Roku Family Game of the Year Nominee; 2019 Gra Roku Best Artwork Winner;                                 2018 Tric Trac Nominee; 2018 Tric Trac d'Argent; 2018 Spiel des Jahres Winner; 2018 Spiel des Jahres Nominee; 2018 Spiel der Spiele Hit für Familien Recommended;  2018 Origins Awards Best Family Game Winner; 2018 Origins Awards Best Family Game Nominee; 2018 Nederlandse Spellenprijs Best Family Game Winner; 2018 Nederlandse Spellenprijs Best Family Game Nominee;                                                                                  2018 Mensa Select Winner; 2018 Lys Grand Public Finalist; 2018 JUGuinho Families Game of the Year Winner; 2018 JUGuinho Families Game of the Year Finalist; 2018 Juego del Año Winner;                                                                                           2018 Juego del Año Finalist; 2018 International Gamers Award - General Strategy: Multi-player Nominee; 2018 Hra roku Finalist; 2018 Guldbrikken Best Adult Game Winner; 2018 Guldbrikken Best Adult Game Nominee; 2018 Gouden Ludo Best Family Game Winner; 2018 Gouden Ludo Best Family Game Nominee; 2018 Gioco dell’Anno Nominee; 2018 Deutscher Spiele Preis Best Family/Adult Game Winner; 2018 Boardgames Australia Awards Best International Game Winner; 2018 Boardgames Australia Awards Best International Game Nominee; 2018 As d'Or - Jeu de l'Année Winner;                                                                                           2018 As d'Or - Jeu de l'Année Nominee; 2018 Årets Spill Best Family Game Winner; 2018 Årets Spill Best Family Game Nominee; 2017 Meeples' Choice Winner; 2017 Meeples' Choice Nominee;                                                              2017 Golden Geek Most Innovative Board Game Nominee; 2017 Golden Geek Board Game of the Year Nominee; 2017 Golden Geek Best Strategy Board Game Nominee; 2017 Golden Geek Best Family Board Game Winner; 2017 Golden Geek Best Family Board Game Nominee; 2017 Golden Geek Best Board Game Artwork & Presentation Nominee; 2017 Cardboard Republic Architect Laurel Winner; 2017 Cardboard Republic Architect Laurel Nominee; 2017 Board Game Quest Awards Best Game from a Small Publisher Nominee,As d'Or - Jeu de l'Année;Board Game Quest Awards Best Game from a Small Publisher;Boardgames Australia Awards Best International Game;Cardboard Republic Architect Laurel;Deutscher Spiele Preis Best Family/Adult Game;Gioco dell’Anno;Golden Geek Best Board Game Artwork & Presentation;Golden Geek Best Family Board Game;Golden Geek Best Strategy Board Game;Golden Geek Board Game of the Year;Golden Geek Most Innovative Board Game;Gouden Ludo Best Family Game;Gra Roku Best Artwork;Gra Roku Family Game of the Year;Guldbrikken Best Adult Game;Hra roku;Hungarian Board Game Award;International Gamers Award - General Strategy: Multiplayer;JUGuinho Families Game of the Year;Juego del Año;Lys Grand Public;Meeples' Choice;Mensa Select;MinD-Spielepreis Short Game;Nederlandse Spellenprijs Best Family Game;Origins Awards Best Family Game;Spiel der Spiele Hit für Familien Recommended;Spiel des Jahres;Tric Trac;Tric Trac d'Argent;UK Games Expo Best Abstract Game Judges Award;UK Games Expo Best Abstract Game People's Choice;Årets Spill Best Family Game,https://libguides.uidaho.edu/c.php?g=894824&p=6435096,,https://libapps.s3.amazonaws.com/accounts/134939/images/azul.jpg,azul.jpg,games_0008.jpg,https://www.lib.uidaho.edu/digital/objects/games/small/games_0008_sm.jpg,https://www.lib.uidaho.edu/digital/objects/games/thumbs/games_0008_th.jpg,game
games_0009,Backgammon,Unknown,Public Domain,Ancient,Backgammon is one of the oldest known board games. The object of the game is to move your pieces along the board's triangles and off the board before your opponent does.,https://usbgf.org/backgammon-basics-how-to-play/,https://alliance-uidaho.primo.exlibrisgroup.com/permalink/01ALLIANCE_UID/2vsn7u/alma996228613001851,Chess/checkers/backgammon : a collection of three favorite game classics by Pressman Toy Corporation Call Number: Board Games Shelf (First Floor) GAME CHESS CHECKERS BACKGAMMON Publication Date: 2017,Board Games Shelf (First Floor) GAME CHESS CHECKERS BACKGAMMON,https://youtu.be/5Ork84zGLIk,,http://deanstarnes.com/Roam_pages/backgammon_rules.pdf,,,2,2,2,8,5-60 min,TRUE,TRUE,FALSE,FALSE,Classic Game,Strategy;Tactics;Counting;Probability,,,https://libguides.uidaho.edu/c.php?g=894824&p=6468477,,https://libapps.s3.amazonaws.com/accounts/182919/images/Checkers_Backgammon_Chess.PNG,Checkers_Backgammon_Chess.PNG,games_0009.jpg,https://www.lib.uidaho.edu/digital/objects/games/small/games_0009_sm.jpg,https://www.lib.uidaho.edu/digital/objects/games/thumbs/games_0009_th.jpg,game
games_0010,Bananagrams,Rena Nathanson; Abe Nathanson,Bananagrams Inc.,2006,"Addictively simple, and simply addictive, BANANAGRAMS is the fast and frantic word game enjoyed by millions! Players and their opponents aim to use all of their letters to build a word grid in a race to the finish. The first player to use all of their tiles is crowned ""Top Banana""!",https://boardgamegeek.com/boardgame/27225/bananagrams,https://alliance-uidaho.primo.exlibrisgroup.com/permalink/01ALLIANCE_UID/2vsn7u/alma996223412701851,"Bananagrams. by Bananagrams Inc. Call Number: Board Game Shelf GAME BANANAGRAMS Publication Date: 2015 Fast and frantic, players race against each other to build crossword grids. And it requires no pencil, paper, or board. In this addictive word game, speed wins, not points. You'll have a bunch of fun as you race to the finish by using all of your letter tiles first. 1-8 players.",Board Game Shelf GAME BANANAGRAMS,https://youtu.be/lIC6hH_GxUA,,https://bananagrams.com/files/2018-11/bg-classic-instructions-digital.pdf,,,1,8,3; 5,7,Less than 30 min,TRUE,FALSE,FALSE,FALSE,Word Game,Manual Dexterity;Vocabulary;Hand-Eye Coordination,2013/Spring Parents' Choice Gold Award Winner; 2012 Guldbrikken Best Family Game Nominee; 2010 Årets Spill Best Party Game Nominee,Guldbrikken Best Family Game;Parents' Choice Gold Award;Årets Spill Best Party Game,https://libguides.uidaho.edu/c.php?g=894824&p=6468420,,https://libapps.s3.amazonaws.com/accounts/182919/images/Bananagrams.jpg,Bananagrams.jpg,games_0010.jpg,https://www.lib.uidaho.edu/digital/objects/games/small/games_0010_sm.jpg,https://www.lib.uidaho.edu/digital/objects/games/thumbs/games_0010_th.jpg,game
